53708601TC D231550 1
107566949GA D205400 1
107593329CG D205400 1
107566949GA D604091 1
107593329CG D604091 1
94476383AT D153800 1
94481319AG D153800 1
94485148AG D153800 1
94496017AG D153800 1
94506902GA D153800 1
94512517GA D153800 1
94528143CT D153800 1
94528783CG D153800 1
94577117GA D153800 1
94586570AG D153800 1
94476383AT D248200 1
94481319AG D248200 1
94485148AG D248200 1
94496017AG D248200 1
94506902GA D248200 1
94512517GA D248200 1
94528143CT D248200 1
94528783CG D248200 1
94577117GA D248200 1
94586570AG D248200 1
94476383AT D601718 1
94481319AG D601718 1
94485148AG D601718 1
94496017AG D601718 1
94506902GA D601718 1
94512517GA D601718 1
94528143CT D601718 1
94528783CG D601718 1
94577117GA D601718 1
94586570AG D601718 1
94476383AT D604116 1
94481319AG D604116 1
94485148AG D604116 1
94496017AG D604116 1
94506902GA D604116 1
94512517GA D604116 1
94528143CT D604116 1
94528783CG D604116 1
94577117GA D604116 1
94586570AG D604116 1
87175271CT D120080 1
87214983TC D120080 1
87175271CT D612244 1
87214983TC D612244 1
87038686CT D600803 1
87051468CT D600803 1
87076396GA D600803 1
87038686CT D602347 1
87051468CT D602347 1
87076396GA D602347 1
87038686CT D614972 1
87051468CT D614972 1
87076396GA D614972 1
101567855TC D237500 1
101591737TC D237500 1
101595996TA D237500 1
101604107CT D237500 1
17415880CT D125853 1
17417194TC D125853 1
17417440GA D125853 1
17448662TG D125853 1
17453770GC D125853 1
17491750GC D125853 1
17415880CT D240800 1
17417194TC D240800 1
17417440GA D240800 1
17448662TG D240800 1
17453770GC D240800 1
17491750GC D240800 1
17415880CT D256450 1
17417194TC D256450 1
17417440GA D256450 1
17448662TG D256450 1
17453770GC D256450 1
17491750GC D256450 1
17415880CT D606176 1
17417194TC D606176 1
17417440GA D606176 1
17448662TG D606176 1
17453770GC D606176 1
17491750GC D606176 1
17415880CT D610374 1
17417194TC D610374 1
17417440GA D610374 1
17448662TG D610374 1
17453770GC D610374 1
17491750GC D610374 1
17415880CT D618857 1
17417194TC D618857 1
17417440GA D618857 1
17448662TG D618857 1
17453770GC D618857 1
17491750GC D618857 1
44051065GC D618666 1
44079831GA D210250 1
44102517GA D210250 1
44079831GA D611465 1
44102517GA D611465 1
133738340AG D608232 1
133738340AG D617602 1
124802643CT D610006 1
124806770AG D610006 1
7124376AG D201475 1
7125376TG D201475 1
7125387AG D201475 1
7125388AC D201475 1
7126161AG D201475 1
7126470CT D201475 1
7127303GA D201475 1
7127321GA D201475 1
7127342GA D201475 1
7127360GA D201475 1
27497191GA D618863 1
67692832GA D616553 1
61556410GA D106180 1
61568577CT D106180 1
61574693AC D106180 1
61556410GA D267430 1
61568577CT D267430 1
61574693AC D267430 1
61556410GA D612624 1
61568577CT D612624 1
61574693AC D612624 1
61556410GA D614519 1
61568577CT D614519 1
61574693AC D614519 1
38518844GA D613751 1
38519870CG D613751 1
136293816CT D274150 1
136302956GA D274150 1
136323145CT D274150 1
136293816CT D274150 1
136302956GA D274150 1
136323145CT D274150 1
100692845AG D613195 1
77328990CA D615458 1
178585865CT D225410 1
14862458GA D125630 1
100231971GT D103780 1
186572249TC D612556 1
37823798AG D601665 1
40745896AG D103050 1
44147485CA D618000 1
178360825CT D208400 1
178361494AG D208400 1
178357898GA D600121 1
241810799TG D259900 1
32881916GA D613752 1
67258282CT D102200 1
67258282CT D219090 1
6337417AG D268000 1
6337417AG D604393 1
45705951CT D240300 1
45709904AC D240300 1
96922752CA D617965 1
74531952CG D614105 1
104189901AG D229600 1
95538415CT D616227 1
29416366GC D613014 1
29420499TA D613014 1
29455199AT D613014 1
29474065CT D613014 1
85382307GA D618052 1
33989564CA D214950 1
33989564CA D614307 1
71469604CT D616270 1
2249633GT D261550 1
53823691GA D261550 1
53823751AG D261550 1
10514927TC D612874 1
49457681TA D605899 1
63070357AT D605019 1
133331459GC D616681 1
112175705GA D114550 1
112175705GA D135290 1
112175705GA D175100 1
112175705GA D613659 1
21225281CT D144010 1
21229860AG D144010 1
21251367GA D144010 1
21257773CA D144010 1
21225281CT D615558 1
21229860AG D615558 1
21251367GA D615558 1
21257773CA D615558 1
116703532AG D614028 1
50344816AG D125800 1
50349221TC D125800 1
50349360CT D125800 1
33443872CT D607457 1
